year,data_type,source_index,destination_index,value
20182019,depot_location,985,0,0.0
20182019,depot_location,1290,0,0.0
20182019,depot_location,346,0,0.0
20182019,depot_location,1470,0,0.0
20182019,depot_location,1548,0,0.0
20182019,depot_location,879,0,0.0
20182019,depot_location,256,0,0.0
20182019,depot_location,1751,0,0.0
20182019,depot_location,564,0,0.0
20182019,depot_location,929,0,0.0
20182019,depot_location,1880,0,0.0
20182019,depot_location,2035,0,0.0
20182019,depot_location,1628,0,0.0
20182019,depot_location,1238,0,0.0
20182019,depot_location,102,0,0.0
20182019,refinery_location,1359,0,0.0
20182019,refinery_location,346,0,0.0
20182019,refinery_location,1751,0,0.0
2018,biomass_forecast,0,0,11.142617034399123
2018,biomass_forecast,1,0,31.139698023999113
2018,biomass_forecast,2,0,68.47870940799919
2018,biomass_forecast,3,0,94.84785156399927
2018,biomass_forecast,4,0,26.413773339999125
2018,biomass_forecast,5,0,31.30459136799909
2018,biomass_forecast,6,0,46.05825957999916
2018,biomass_forecast,7,0,110.38760985999917
2018,biomass_forecast,8,0,72.94878540399964
2018,biomass_forecast,9,0,104.5320159879997
2018,biomass_forecast,10,0,26.042565915999162
2018,biomass_forecast,11,0,4.69169921919909
2018,biomass_forecast,12,0,2.236290931599063
2018,biomass_forecast,13,0,0.30204204279906643
2018,biomass_forecast,14,0,0.4212850095990578
2018,biomass_forecast,15,0,69.97157744799932
2018,biomass_forecast,16,0,97.56254577999917
2018,biomass_forecast,17,0,180.08174439999993
2018,biomass_forecast,18,0,126.90617679999977
2018,biomass_forecast,19,0,108.11138000799926
2018,biomass_forecast,20,0,97.98253478799921
2018,biomass_forecast,21,0,122.00341791999931
2018,biomass_forecast,22,0,127.87299195999931
2018,biomass_forecast,23,0,181.5359863599999
2018,biomass_forecast,24,0,176.4920348800002
2018,biomass_forecast,25,0,82.25138550399926
2018,biomass_forecast,26,0,76.63739929599916
2018,biomass_forecast,27,0,37.2528503439991
2018,biomass_forecast,28,0,4.870404147999094
2018,biomass_forecast,29,0,0.31069368759906224
2018,biomass_forecast,30,0,38.68168639599917
2018,biomass_forecast,31,0,154.99810791999954
2018,biomass_forecast,32,0,204.19558107999967
2018,biomass_forecast,33,0,157.26839595999976
2018,biomass_forecast,34,0,199.96619259999974
2018,biomass_forecast,35,0,192.24117435999946
2018,biomass_forecast,36,0,178.03154907999942
2018,biomass_forecast,37,0,162.5811278799997
2018,biomass_forecast,38,0,99.86199341199931
2018,biomass_forecast,39,0,74.41118011599907
2018,biomass_forecast,40,0,55.53483733599912
2018,biomass_forecast,41,0,109.71140136399916
2018,biomass_forecast,42,0,125.96832879999937
2018,biomass_forecast,43,0,29.89585341999909
2018,biomass_forecast,44,0,2.405740595199068
2018,biomass_forecast,45,0,0.14991431799906652
2018,biomass_forecast,46,0,0.2956169367990717
2018,biomass_forecast,47,0,42.901278687999124
2018,biomass_forecast,48,0,181.96754763999942
2018,biomass_forecast,49,0,136.18023075999923
2018,biomass_forecast,50,0,123.97043763999915
2018,biomass_forecast,51,0,181.56477051999974
2018,biomass_forecast,52,0,195.25847775999955
2018,biomass_forecast,53,0,205.4821532799998
2018,biomass_forecast,54,0,194.98702395999956
2018,biomass_forecast,55,0,134.15746455999974
2018,biomass_forecast,56,0,184.03543095999976
2018,biomass_forecast,57,0,159.44504391999928
2018,biomass_forecast,58,0,127.28130495999919
2018,biomass_forecast,59,0,85.20102234399924
2018,biomass_forecast,60,0,80.12655639999925
2018,biomass_forecast,61,0,13.900539015999094
2018,biomass_forecast,62,0,6.538520431599025
2018,biomass_forecast,63,0,19.83539352399922
2018,biomass_forecast,64,0,10.12153854399914
2018,biomass_forecast,65,0,2.695153236399071
2018,biomass_forecast,66,0,5.809775543199105
2018,biomass_forecast,67,0,0.5585732703990667
2018,biomass_forecast,68,0,0.1541882703990639
2018,biomass_forecast,69,0,9.004785728799076
2018,biomass_forecast,70,0,112.48390197999952
2018,biomass_forecast,71,0,133.56075135999941
2018,biomass_forecast,72,0,155.43657231999947
2018,biomass_forecast,73,0,219.9258056799996
2018,biomass_forecast,74,0,230.19349971999966
2018,biomass_forecast,75,0,248.36521611999984
2018,biomass_forecast,76,0,200.10236812000016
2018,biomass_forecast,77,0,114.25725097599964
2018,biomass_forecast,78,0,212.1449401599998
