year,data_type,source_index,destination_index,value
20182019,depot_location,1860,0,0.0
20182019,depot_location,985,0,0.0
20182019,depot_location,1358,0,0.0
20182019,depot_location,1637,0,0.0
20182019,depot_location,1469,0,0.0
20182019,depot_location,744,0,0.0
20182019,depot_location,443,0,0.0
20182019,depot_location,1880,0,0.0
20182019,depot_location,2084,0,0.0
20182019,depot_location,177,0,0.0
20182019,depot_location,1259,0,0.0
20182019,depot_location,1009,0,0.0
20182019,depot_location,2018,0,0.0
20182019,depot_location,1432,0,0.0
20182019,depot_location,929,0,0.0
20182019,refinery_location,929,0,0.0
20182019,refinery_location,1358,0,0.0
20182019,refinery_location,1860,0,0.0
2018,biomass_forecast,0,0,7.804834488169248
2018,biomass_forecast,1,0,30.730746759516347
2018,biomass_forecast,2,0,58.34914741497202
2018,biomass_forecast,3,0,77.58362837272773
2018,biomass_forecast,4,0,19.6937617862932
2018,biomass_forecast,5,0,28.595653156971593
2018,biomass_forecast,6,0,37.36805287398563
2018,biomass_forecast,7,0,61.49922855606898
2018,biomass_forecast,8,0,43.58362680520934
2018,biomass_forecast,9,0,58.30457531146448
2018,biomass_forecast,10,0,13.060285211322011
2018,biomass_forecast,11,0,4.938534420217291
2018,biomass_forecast,12,0,4.133805439081831
2018,biomass_forecast,13,0,0.48238157618319955
2018,biomass_forecast,14,0,0.739314984177925
2018,biomass_forecast,15,0,42.77629608135287
2018,biomass_forecast,16,0,78.50104805461783
2018,biomass_forecast,17,0,146.47140317580508
2018,biomass_forecast,18,0,128.80113342292273
2018,biomass_forecast,19,0,74.36941115276652
2018,biomass_forecast,20,0,96.52140153171908
2018,biomass_forecast,21,0,106.6246138051924
2018,biomass_forecast,22,0,112.32674142200152
2018,biomass_forecast,23,0,129.08383093177702
2018,biomass_forecast,24,0,129.43830539811813
2018,biomass_forecast,25,0,64.00195547980225
2018,biomass_forecast,26,0,45.49599543139155
2018,biomass_forecast,27,0,34.561050787673125
2018,biomass_forecast,28,0,5.188197948114039
2018,biomass_forecast,29,0,0.5258558800526251
2018,biomass_forecast,30,0,30.41791927562484
2018,biomass_forecast,31,0,95.16940974966872
2018,biomass_forecast,32,0,141.84242393072074
2018,biomass_forecast,33,0,125.92229793138165
2018,biomass_forecast,34,0,126.01436503121784
2018,biomass_forecast,35,0,118.8671030439301
2018,biomass_forecast,36,0,156.93763801733178
2018,biomass_forecast,37,0,148.02702764995976
2018,biomass_forecast,38,0,92.49841181141983
2018,biomass_forecast,39,0,67.56846470973919
2018,biomass_forecast,40,0,61.55784814429138
2018,biomass_forecast,41,0,80.51002281799283
2018,biomass_forecast,42,0,95.12763718485114
2018,biomass_forecast,43,0,28.556595932438313
2018,biomass_forecast,44,0,2.5515803277097073
2018,biomass_forecast,45,0,0.5096483620437999
2018,biomass_forecast,46,0,0.6645408462746247
2018,biomass_forecast,47,0,19.67277258251645
2018,biomass_forecast,48,0,90.8949167545721
2018,biomass_forecast,49,0,104.41116213185819
2018,biomass_forecast,50,0,106.63125415372315
2018,biomass_forecast,51,0,114.00142067447544
2018,biomass_forecast,52,0,115.65527317388195
2018,biomass_forecast,53,0,144.91450598745377
2018,biomass_forecast,54,0,145.25316202484348
2018,biomass_forecast,55,0,124.95701927988831
2018,biomass_forecast,56,0,144.39863613108392
2018,biomass_forecast,57,0,108.00213488013875
2018,biomass_forecast,58,0,103.88272919350918
2018,biomass_forecast,59,0,70.69378977178259
2018,biomass_forecast,60,0,68.47888454288399
2018,biomass_forecast,61,0,14.833499081001271
2018,biomass_forecast,62,0,7.952218257541886
2018,biomass_forecast,63,0,21.762934141726344
2018,biomass_forecast,64,0,10.087864160088596
2018,biomass_forecast,65,0,4.374422248853631
2018,biomass_forecast,66,0,6.366271837354678
2018,biomass_forecast,67,0,0.6332092192226239
2018,biomass_forecast,68,0,0.4459725846546748
2018,biomass_forecast,69,0,7.348635536225602
2018,biomass_forecast,70,0,96.9347158013976
